"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"50","Hartlepool","E06000001",43.7040900595471,9386.11,9.8,17.9760507671578,65.0747598556961,16.9491893771461,97.6431086191159,0.184726387621159,0.289042465336637,0.232537923240753,0.248837310383796,0.597644195244925,0.114095710001304,0.955144086582345,33.178,0.239,0.211,30.51,0.929,0.078,13.128,8.26,0.307,0.244
"51","Havering","E09000016",28.878903351993,11236.35,21.1,17.3905712551426,64.7884771025831,17.8209516422742,87.5889424698186,4.83956633169218,2.11480744587577,0.410990085654549,0.615009779456397,2.07939906926553,0.558103459904229,7.9803736426789,17.876,0.132,0.103,23.089,-0.357,0.319,19.925,13.373,0.202,0.135
"52","Herefordshire, County of","E06000019",13.7346915417191,217973.24,0.8,15.9442327921211,62.7909765256681,21.2647906822109,97.9992042599345,0.180404083345596,0.267063446644539,0.0174408781482148,0.150972601470484,0.692184851507273,0.146067354491299,0.615881009608834,19.737,0.111,0.094,19.325,-0.328,-0.534,34.351,33.533,0.138,0.131
"53","Hertfordshire","E10000015",16.3646822488356,164306.58,6.8,18.7485999881727,65.6684843673559,15.5829156444714,87.4813406423658,2.81355336889886,2.58480263641267,0.502481044959868,0.758201605287162,2.46375201377701,0.635090165241716,6.65903865555856,12.192,0.097,0.078,14.093,-0.734,-0.409,21.876,11.637,0.132,0.116
"54","Hillingdon","E09000017",23.2171018048011,11569.87,23.7,19.5286490275101,67.6296653232872,12.8416856492027,60.4838356404416,7.33090940949711,13.4319695111267,0.96336370539104,1.05462589801998,3.82534606623445,2.95360960224286,22.7808685240348,18.108,0.136,0.091,16.803,-0.248,0.438,23.93,16.915,0.208,0.157
"55","Hounslow","E09000018",22.2202971369169,5598.62,45.4,19.1248912217423,70.2989088703993,10.5761999078584,51.3165614651299,6.62041211701194,18.9642341026237,0.861956945467146,0.947010714412282,4.07509932783896,3.55690136519175,27.393613879515,22.469,0.148,0.095,14.803,-0.183,0.523,36.919,26.56,0.222,0.209
"56","Isle of Wight","E06000046",7.11676852421075,38016.1,3.6,15.131812099953,61.0342458322786,23.8339420677684,97.2415289480346,0.21914439662966,0.314613242686146,0.0947455972227245,0.158391494593715,1.23603225689799,0.140310273749684,0.786894731132246,23.087,0.155,0.145,28.208,0.096,-0.373,19.207,28.007,0.204,0.151
"57","Islington","E09000019",17.9599757428745,1485.95,138.7,15.0345664038811,76.2154032747119,8.75003032140691,68.0907216494845,12.7563371740449,1.71449363250455,2.26173438447544,2.16228016979988,6.47131594906004,3.36834445118253,18.8948453608247,32.534,0.217,0.141,14.567,0.519,0.917,30.375,43.83,0.353,0.361
"58","Kensington and Chelsea","E09000020",16.6720244060788,1212.95,130.8,14.6518414865521,73.2995480589225,12.0486104545254,70.5318029108283,6.51312015833696,1.62434052531059,0.526949429243172,2.50111882205372,5.66407604208032,7.21845079389092,11.1655289349444,23.376,0.135,0.094,6.066,-0.873,0.436,31.949,54.998,0.174,0.216
"59","Kent","E10000016",21.8495087925451,354352.64,4.1,18.078278929318,64.0014620082802,17.9202590624018,93.3510732780412,1.10784702201211,1.23901785836282,0.230983644636343,0.408405864429475,1.51030920791944,0.457799882492792,2.98625438944075,18.805,0.129,0.108,21.601,-0.355,0.14,21.9,16.959,0.178,0.135
