Site,Sp,ID Code,Rep,Tree,IN/OUT,Height,Year,DBH,NYear,NyearQ,sqdbh,ttdbh,sqht
Brighton,BS,S-BS-Mlt,1,32,OUT,7.5,10,1.1,10,1,1.048808848,1.065602237,2.738612788
Brighton,BS,S-BS-Mlt,1,32,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,32,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,32,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,33,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,33,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,33,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,33,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,33,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,34,OUT,8.3,5,0.8,5,4,0.894427191,0.861773876,2.880972058
Brighton,BS,S-BS-Mlt,1,34,OUT,13.5,10,2.7,10,1,1.643167673,1.938991221,3.674234614
Brighton,BS,S-BS-Mlt,1,34,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,34,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,34,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,35,OUT,5.1,5,0.2,5,4,0.447213596,0.341995189,2.258317958
Brighton,BS,S-BS-Mlt,1,35,OUT,14.7,10,2,10,1,1.414213562,1.587401052,3.834057903
Brighton,BS,S-BS-Mlt,1,35,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,35,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,35,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,36,OUT,8.1,5,0.7,5,4,0.836660027,0.788373516,2.846049894
Brighton,BS,S-BS-Mlt,1,36,OUT,12.5,10,2.7,10,1,1.643167673,1.938991221,3.535533906
Brighton,BS,S-BS-Mlt,1,36,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,36,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,36,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,1,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,1,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,1,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,1,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,1,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,2,OUT,6,5,0.6,5,4,0.774596669,0.711378661,2.449489743
Brighton,BS,S-BS-Mlt,2,2,OUT,13.4,10,2.3,10,1,1.516575089,1.742416162,3.660601044
Brighton,BS,S-BS-Mlt,2,2,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,2,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,2,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,3,OUT,5.3,5,0.3,5,4,0.547722558,0.448140475,2.302172887
Brighton,BS,S-BS-Mlt,2,3,OUT,11.8,10,1.6,10,1,1.264911064,1.367980757,3.435112808
Brighton,BS,S-BS-Mlt,2,3,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,3,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,3,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,4,OUT,6,5,0.5,5,4,0.707106781,0.629960525,2.449489743
Brighton,BS,S-BS-Mlt,2,4,OUT,16.4,10,2.8,10,1,1.673320053,1.986576777,4.049691346
Brighton,BS,S-BS-Mlt,2,4,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,4,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,4,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,5,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,5,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,5,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,5,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,5,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,6,OUT,5.9,5,0.3,5,4,0.547722558,0.448140475,2.42899156
Brighton,BS,S-BS-Mlt,2,6,OUT,15.6,10,2.8,10,1,1.673320053,1.986576777,3.949683532
Brighton,BS,S-BS-Mlt,2,6,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,6,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,6,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,7,OUT,4.3,5,0,5,4,0,0,2.073644135
Brighton,BS,S-BS-Mlt,2,7,OUT,13.5,10,2.2,10,1,1.483239697,1.691538112,3.674234614
Brighton,BS,S-BS-Mlt,2,7,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,7,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,7,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,8,IN,6.7,5,0.7,5,4,0.836660027,0.788373516,2.588435821
Brighton,BS,S-BS-Mlt,2,8,IN,15.1,10,2.8,10,1,1.673320053,1.986576777,3.885871846
Brighton,BS,S-BS-Mlt,2,8,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,8,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,8,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,9,IN,4.1,5,0,5,4,0,0,2.024845673
Brighton,BS,S-BS-Mlt,2,9,IN,10.3,10,1.6,10,1,1.264911064,1.367980757,3.209361307
Brighton,BS,S-BS-Mlt,2,9,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,9,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,9,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,10,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,10,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,10,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,10,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,10,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,11,IN,5,5,0.3,5,4,0.547722558,0.448140475,2.236067978
Brighton,BS,S-BS-Mlt,2,11,IN,11.5,10,2.1,10,1,1.449137675,1.639882998,3.391164992
Brighton,BS,S-BS-Mlt,2,11,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,11,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,11,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,12,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,12,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,12,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,12,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,12,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,13,OUT,7.4,5,0.6,5,4,0.774596669,0.711378661,2.720294102
Brighton,BS,S-BS-Mlt,2,13,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,13,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,13,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,13,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,14,IN,7.8,5,0.7,5,4,0.836660027,0.788373516,2.792848009
Brighton,BS,S-BS-Mlt,2,14,IN,11.9,10,2.4,10,1,1.549193339,1.792561899,3.449637662
Brighton,BS,S-BS-Mlt,2,14,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,14,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,14,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,15,IN,5.4,5,0.3,5,4,0.547722558,0.448140475,2.323790008
Brighton,BS,S-BS-Mlt,2,15,IN,14.7,10,2.2,10,1,1.483239697,1.691538112,3.834057903
Brighton,BS,S-BS-Mlt,2,15,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,15,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,15,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,16,IN,5.8,5,0.3,5,4,0.547722558,0.448140475,2.408318916
Brighton,BS,S-BS-Mlt,2,16,IN,12.4,10,2,10,1,1.414213562,1.587401052,3.521363372
Brighton,BS,S-BS-Mlt,2,16,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,16,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,16,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,17,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,17,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,17,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,17,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,17,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,18,OUT,4.5,5,0.3,5,4,0.547722558,0.448140475,2.121320344
Brighton,BS,S-BS-Mlt,2,18,OUT,11.5,10,1.9,10,1,1.378404875,1.534036644,3.391164992
Brighton,BS,S-BS-Mlt,2,18,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,18,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,18,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,19,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,19,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,19,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,19,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,19,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,20,IN,4.8,5,0.2,5,4,0.447213596,0.341995189,2.19089023
Brighton,BS,S-BS-Mlt,2,20,IN,11,10,2,10,1,1.414213562,1.587401052,3.31662479
Brighton,BS,S-BS-Mlt,2,20,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,20,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,20,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,21,IN,3.4,5,0,5,4,0,0,1.843908892
Brighton,BS,S-BS-Mlt,2,21,IN,10,10,1.7,10,1,1.303840481,1.424402129,3.16227766
Brighton,BS,S-BS-Mlt,2,21,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,21,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,21,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,22,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,2,22,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,22,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,22,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,22,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,23,IN,6.4,5,0.5,5,4,0.707106781,0.629960525,2.529822128
Brighton,BS,S-BS-Mlt,2,23,IN,14.2,10,2.3,10,1,1.516575089,1.742416162,3.768288736
Brighton,BS,S-BS-Mlt,2,23,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,23,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,23,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,24,OUT,7,5,0.5,5,4,0.707106781,0.629960525,2.645751311
Brighton,BS,S-BS-Mlt,2,24,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,2,24,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,24,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,24,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,25,OUT,5.2,5,0.3,5,4,0.547722558,0.448140475,2.28035085
Brighton,BS,S-BS-Mlt,2,25,OUT,13,10,1.9,10,1,1.378404875,1.534036644,3.605551276
Brighton,BS,S-BS-Mlt,2,25,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,25,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,25,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,26,IN,7.2,5,0.6,5,4,0.774596669,0.711378661,2.683281573
Brighton,BS,S-BS-Mlt,2,26,IN,16,10,2.9,10,1,1.702938637,2.033599058,4
Brighton,BS,S-BS-Mlt,2,26,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,26,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,26,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,27,IN,4.1,5,0,5,4,0,0,2.024845673
Brighton,BS,S-BS-Mlt,2,27,IN,11.8,10,1.1,10,1,1.048808848,1.065602237,3.435112808
Brighton,BS,S-BS-Mlt,2,27,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,27,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,27,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,28,IN,4.9,5,0.2,5,4,0.447213596,0.341995189,2.213594362
Brighton,BS,S-BS-Mlt,2,28,IN,11.7,10,1.9,10,1,1.378404875,1.534036644,3.420526275
Brighton,BS,S-BS-Mlt,2,28,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,2,28,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,2,28,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,2,29,IN,4.8,5,0.2,5,4,0.447213596,0.341995189,2.19089023
